date,time,voltage,capacity
2022-01-10,21:19:57.673726,4130.0,100.66402
2022-01-10,21:20:57.735705,4127.5,100.347634
2022-01-10,21:21:57.797662,4122.5,100.031248
2022-01-10,21:22:57.859643,4122.5,99.714798
2022-01-10,21:23:57.875769,4120.0,99.558558
2022-01-10,21:24:57.937704,4117.5,99.242172
2022-01-10,21:25:57.999665,4115.0,98.925722
2022-01-10,21:26:58.061607,4113.75,98.609336
2022-01-10,21:27:58.095765,4111.25,98.29295
2022-01-10,21:28:58.157712,4108.75,98.132804
2022-01-10,21:29:58.175760,4107.5,97.816354
2022-01-10,21:30:58.237713,4105.0,97.499968
2022-01-10,21:31:58.299651,4102.5,97.183582
2022-01-10,21:32:58.361609,4101.25,96.867132
2022-01-10,21:33:58.423542,4098.75,96.710892
2022-01-10,21:34:58.485539,4097.5,96.394506
2022-01-10,21:35:58.547474,4095.0,96.07812
2022-01-10,21:36:58.609418,4093.75,95.76167
2022-01-10,21:37:58.671361,4092.5,95.601524
2022-01-10,21:38:58.733313,4090.0,95.285138
2022-01-10,21:39:58.795258,4087.5,94.968688
2022-01-10,21:40:58.857210,4086.25,94.652302
2022-01-10,21:41:58.919143,4085.0,94.496062
2022-01-10,21:42:58.975787,4082.5,94.179676
2022-01-10,21:43:59.037748,4081.25,93.863226
2022-01-10,21:44:59.099706,4080.0,93.70308
2022-01-10,21:45:59.161653,4077.5,93.386694
2022-01-10,21:46:59.223619,4076.25,93.070308
2022-01-10,21:47:59.275764,4075.0,92.914004
2022-01-10,21:48:59.335687,4072.5,92.597618
2022-01-10,21:49:59.397582,4072.5,92.437472
2022-01-10,21:50:59.459504,4070.0,92.121086
2022-01-10,21:51:59.521333,4068.75,91.804636
2022-01-10,21:52:59.583232,4067.5,91.648396
2022-01-10,21:53:59.617602,4065.0,91.33201
2022-01-10,21:54:59.679549,4062.5,91.171864
2022-01-10,21:55:59.741373,4062.5,90.855414
2022-01-10,21:56:59.803261,4058.75,90.699174
2022-01-10,21:57:59.865216,4056.25,90.382788
2022-01-10,21:58:59.927154,4055.0,90.222642
2022-01-10,21:59:59.989099,4055.0,89.906192
2022-01-10,22:01:00.051044,4050.0,89.749952
2022-01-10,22:02:00.112980,4055.0,89.433566
2022-01-10,22:03:00.174939,4052.5,89.27342
2022-01-10,22:04:00.236887,4050.0,89.11718
2022-01-10,22:05:00.298835,4050.0,88.80073
2022-01-10,22:06:00.360780,4043.75,88.640584
2022-01-10,22:07:00.415761,4047.5,88.355446
2022-01-10,22:08:00.477709,4046.25,88.210924
2022-01-10,22:09:00.539653,4042.5,87.925722
2022-01-10,22:10:00.601604,4043.75,87.7812
2022-01-10,22:11:00.635767,4042.5,87.492156
2022-01-10,22:12:00.697712,4041.25,87.35154
2022-01-10,22:13:00.759674,4038.75,87.062496
2022-01-10,22:14:00.821629,4037.5,86.91791
2022-01-10,22:15:00.845760,4037.5,86.777294
2022-01-10,22:16:00.907703,4035.0,86.48825
2022-01-10,22:17:00.969652,4035.0,86.343728
2022-01-10,22:18:01.002461,4032.5,86.05859
2022-01-10,22:19:01.055751,4032.5,85.914004
2022-01-10,22:20:01.117702,4030.0,85.769482
2022-01-10,22:21:01.125646,4030.0,85.484344
2022-01-10,22:22:01.187468,4027.5,85.339822
2022-01-10,22:23:01.249301,4025.0,85.1953
2022-01-10,22:24:01.311190,4025.0,85.054684
2022-01-10,22:25:01.373098,4025.0,84.765576
2022-01-10,22:26:01.375697,4022.5,84.621054
2022-01-10,22:27:01.437526,4020.0,84.480438
2022-01-10,22:28:01.499421,4017.5,84.335916
2022-01-10,22:29:01.561293,4015.0,84.171864
2022-01-10,22:30:01.623183,4015.0,83.847602
2022-01-10,22:31:01.685127,4012.5,83.68355
2022-01-10,22:32:01.747087,4012.5,83.519498
2022-01-10,22:33:01.809036,4015.0,83.355446
2022-01-10,22:34:01.870961,4011.25,83.1953
2022-01-10,22:35:01.932900,4008.75,83.031248
2022-01-10,22:36:01.994851,4008.75,82.867132
2022-01-10,22:37:02.056788,4003.75,82.70308
2022-01-10,22:38:02.095775,4007.5,82.542934
2022-01-10,22:39:02.157711,4007.5,82.378882
2022-01-10,22:40:02.219662,4005.0,82.21483
2022-01-10,22:41:02.281615,4005.0,81.890568
2022-01-10,22:42:02.343564,4003.75,81.726516
2022-01-10,22:43:02.405558,4002.5,81.562464
2022-01-10,22:44:02.467508,4001.25,81.398412
2022-01-10,22:45:02.529468,4000.0,81.238266
2022-01-10,22:46:02.591407,4000.0,81.074214
2022-01-10,22:47:02.653342,3997.5,80.910098
2022-01-10,22:48:02.715290,3997.5,80.746046
2022-01-10,22:49:02.753076,3995.0,80.5859
2022-01-10,22:50:02.815008,3995.0,80.421848
2022-01-10,22:51:02.876938,3992.5,80.257796
2022-01-10,22:52:02.938880,3992.5,80.093744
2022-01-10,22:53:02.975823,3990.0,79.933534
2022-01-10,22:54:03.015763,3990.0,79.769482
2022-01-10,22:55:03.055770,3987.5,79.60543
2022-01-10,22:56:03.117727,3987.5,79.441378
2022-01-10,22:57:03.179673,3986.25,79.281232
2022-01-10,22:58:03.241627,3985.0,79.11718
2022-01-10,22:59:03.295764,3983.75,78.953064
2022-01-10,23:00:03.357721,3982.5,78.789012
2022-01-10,23:01:03.419667,3981.25,78.628866
2022-01-10,23:02:03.481614,3980.0,78.464814
2022-01-10,23:03:03.535763,3980.0,78.300762
2022-01-10,23:04:03.597701,3977.5,78.13671
2022-01-10,23:05:03.659651,3977.5,77.9765
2022-01-10,23:06:03.721597,3975.0,77.812448
2022-01-10,23:07:03.775762,3975.0,77.648396
2022-01-10,23:08:03.837699,3972.5,77.484344
2022-01-10,23:09:03.899641,3972.5,77.324198
2022-01-10,23:10:03.961590,3971.25,77.160146
2022-01-10,23:11:04.015766,3970.0,76.99603
2022-01-10,23:12:04.077716,3968.75,76.831978
2022-01-10,23:13:04.095762,3967.5,76.671832
2022-01-10,23:14:04.113164,3966.25,76.50778
2022-01-10,23:15:04.175108,3965.0,76.343728
2022-01-10,23:16:04.237049,3965.0,76.179676
2022-01-10,23:17:04.255763,3962.5,76.01953
2022-01-10,23:18:04.315778,3962.5,75.855414
2022-01-10,23:19:04.377715,3960.0,75.691362
2022-01-10,23:20:04.439563,3960.0,75.52731
2022-01-10,23:21:04.495767,3958.75,75.367164
2022-01-10,23:22:04.557650,3957.5,75.203112
2022-01-10,23:23:04.619506,3956.25,75.03906
2022-01-10,23:24:04.681439,3955.0,74.874944
2022-01-10,23:25:04.735753,3953.75,74.874944
2022-01-10,23:26:04.797714,3951.25,74.710892
2022-01-10,23:27:04.859670,3950.0,74.54684
2022-01-10,23:28:04.921673,3945.0,74.382788
2022-01-10,23:29:04.975783,3947.5,74.218736
2022-01-10,23:30:05.037743,3948.75,74.054684
2022-01-10,23:31:05.099695,3946.25,73.890568
2022-01-10,23:32:05.161660,3946.25,73.726516
2022-01-10,23:33:05.223616,3942.5,73.562464
2022-01-10,23:34:05.285608,3940.0,73.398412
2022-01-10,23:35:05.347561,3942.5,73.23436
2022-01-10,23:36:05.409501,3936.25,73.070308
2022-01-10,23:37:05.471449,3940.0,72.906192
2022-01-10,23:38:05.533403,3940.0,72.74214
2022-01-10,23:39:05.595352,3938.75,72.578088
2022-01-10,23:40:05.638933,3937.5,72.578088
2022-01-10,23:41:05.646333,3936.25,72.414036
2022-01-10,23:42:05.695756,3935.0,72.249984
2022-01-10,23:43:05.757708,3933.75,72.085932
2022-01-10,23:44:05.775779,3932.5,71.921816
2022-01-10,23:45:05.837733,3932.5,71.757764
2022-01-10,23:46:05.855778,3930.0,71.593712
2022-01-10,23:47:05.917737,3930.0,71.42966
2022-01-10,23:48:05.979687,3928.75,71.265608
2022-01-10,23:49:06.041647,3927.5,71.101556
2022-01-10,23:50:06.095771,3926.25,70.93744
2022-01-10,23:51:06.157726,3925.0,70.773388
2022-01-10,23:52:06.219659,3925.0,70.773388
2022-01-10,23:53:06.281604,3922.5,70.609336
